date,new_cases,new/total,growth_rate,total_cases,population density,status
1,1,1,0,1,54.422,1
2,0,0,-1,1,54.422,1
3,0,0,0,1,54.422,0
4,1,0.5,0,2,54.422,1
5,1,0.333333333,-0.333333333,3,54.422,1
6,0,0,-1,3,54.422,0
7,0,0,0,3,54.422,0
8,0,0,0,3,54.422,1
9,0,0,0,3,54.422,1
10,0,0,0,3,54.422,1
11,0,0,0,3,54.422,1
12,0,0,0,3,54.422,1
13,0,0,0,3,54.422,1
14,0,0,0,3,54.422,1
15,0,0,0,3,54.422,1
16,0,0,0,3,54.422,1
17,0,0,0,3,54.422,1
18,0,0,0,3,54.422,1
19,0,0,0,3,54.422,1
20,0,0,0,3,54.422,1
21,0,0,0,3,54.422,1
22,0,0,0,3,54.422,1
23,0,0,0,3,54.422,1
24,0,0,0,3,54.422,1
25,0,0,0,3,54.422,1
26,0,0,0,3,54.422,1
27,0,0,0,3,54.422,1
28,0,0,0,3,54.422,1
29,0,0,0,3,54.422,1
30,0,0,0,3,54.422,1
31,0,0,0,3,54.422,1
32,0,0,0,3,54.422,1
33,2,0.4,0,5,54.422,1
34,0,0,-1,5,54.422,1
35,23,0.821428571,0,28,54.422,0
36,2,0.066666667,-0.91884058,30,54.422,1
37,1,0.032258065,-0.516129032,31,54.422,0
38,3,0.088235294,1.735294118,34,54.422,0
39,5,0.128205128,0.452991453,39,54.422,1
40,4,0.093023256,-0.274418605,43,54.422,1
41,13,0.232142857,1.495535714,56,54.422,0
42,6,0.096774194,-0.583126551,62,54.422,1
43,11,0.150684932,0.557077626,73,54.422,0
44,9,0.109756098,-0.271618625,82,54.422,1
45,20,0.196078431,0.786492375,102,54.422,0
46,11,0.097345133,-0.503539823,113,54.422,1
47,6,0.050420168,-0.482047364,119,54.422,0
48,23,0.161971831,2.212441315,142,54.422,0
49,14,0.08974359,-0.445930881,156,54.422,1
50,38,0.195876289,1.182621502,194,54.422,0
51,50,0.204918033,0.046160483,244,54.422,1
52,86,0.260606061,0.271757576,330,54.422,1
53,66,0.166666667,-0.360465116,396,54.422,1
54,103,0.206412826,0.238476954,499,54.422,0
55,37,0.069029851,-0.66557383,536,54.422,1
56,121,0.184170472,1.667983052,657,54.422,0
57,70,0.096286107,-0.47719031,727,54.422,1
58,160,0.180383315,0.873409567,887,54.422,0
59,100,0.101317123,-0.438323202,987,54.422,1
60,37,0.036132813,-0.643369141,1024,54.422,0
61,227,0.181454836,4.021885195,1251,54.422,0
62,146,0.104509664,-0.424045863,1397,54.422,1
63,601,0.300800801,1.878210402,1998,54.422,0
64,545,0.214313803,-0.2875225,2543,54.422,1
65,24,0.009349435,-0.956375021,2567,54.422,0
66,515,0.167099286,16.87266115,3082,54.422,0
67,506,0.141025641,-0.156036843,3588,54.422,1
68,1190,0.249058183,0.766048936,4778,54.422,0
69,533,0.100357748,-0.597050991,5311,54.422,1
70,605,0.102265044,0.019004969,5916,54.422,0
71,809,0.120297398,0.176329595,6725,54.422,1
72,873,0.114898658,-0.044878279,7598,54.422,1
73,848,0.100402557,-0.126164225,8446,54.422,0
74,759,0.082455187,-0.178754112,9205,54.422,0
75,1248,0.119391562,0.447956957,10453,54.422,0
76,1034,0.090014799,-0.246053928,11487,54.422,1
77,835,0.067764973,-0.247179645,12322,54.422,0
78,1108,0.082501862,0.217470584,13430,54.422,0
79,922,0.064241918,-0.221327661,14352,54.422,1
80,1370,0.087139041,0.356420297,15722,54.422,0
81,1893,0.107465228,0.233261549,17615,54.422,1
82,924,0.049840876,-0.53621393,18539,54.422,1
83,1541,0.076743028,0.539760816,20080,54.422,0
84,1290,0.060364998,-0.213413918,21370,54.422,1
85,1707,0.073969753,0.225374908,23077,54.422,0
86,1453,0.059233592,-0.199218751,24530,54.422,1
87,1753,0.066697105,0.12600136,26283,54.422,0
88,1607,0.057619218,-0.136106152,27890,54.422,1
89,1561,0.053003294,-0.080110853,29451,54.422,0
90,1873,0.059794407,0.12812625,31324,54.422,0
91,1738,0.052567903,-0.120855854,33062,54.422,1
92,1801,0.051659352,-0.017283368,34863,54.422,0
93,2394,0.064256381,0.243847986,37257,54.422,0
94,2442,0.061512884,-0.0426961,39699,54.422,1
95,2806,0.066015763,0.073202199,42505,54.422,0
96,3932,0.084673859,0.282630929,46437,54.422,1
97,2963,0.059979757,-0.291637848,49400,54.422,1
98,3587,0.06769585,0.12864495,52987,54.422,0
99,3364,0.059697255,-0.118154883,56351,54.422,1
100,3344,0.056018092,-0.061630351,59695,54.422,0
101,3113,0.04956375,-0.115218886,62808,54.422,0
102,4353,0.064814401,0.307697691,67161,54.422,0
103,3607,0.050969365,-0.213610498,70768,54.422,1
104,3524,0.047434448,-0.069353755,74292,54.422,0
105,3763,0.048209596,0.016341456,78055,54.422,0
106,3942,0.04807493,-0.002793349,81997,54.422,1
107,3787,0.044145761,-0.081730086,85784,54.422,0
108,4864,0.053658106,0.215475831,90648,54.422,0
109,5050,0.052770173,-0.01654798,95698,54.422,1
110,4630,0.046148632,-0.125478845,100328,54.422,0
111,6147,0.057731862,0.250998325,106475,54.422,0
112,5553,0.049567965,-0.141410592,112028,54.422,1
113,6198,0.052425016,0.057639069,118226,54.422,0
114,6568,0.052630735,0.003924061,124794,54.422,1
115,6629,0.050440182,-0.041621188,131423,54.422,1
116,7113,0.051344055,0.017919707,138536,54.422,0
117,6414,0.044249741,-0.138172057,144950,54.422,1
118,5843,0.038748483,-0.124322948,150793,54.422,0
119,7293,0.046133117,0.190578671,158086,54.422,0
120,7300,0.044139165,-0.043221707,165386,54.422,1
121,8105,0.046717121,0.058405169,173491,54.422,0
122,8336,0.045845776,-0.018651498,181827,54.422,1
123,8782,0.046073375,0.004964446,190609,54.422,0
124,7761,0.039123859,-0.150835832,198370,54.422,1
125,8821,0.042574243,0.08819129,207191,54.422,0
126,9633,0.044427739,0.043535608,216824,54.422,1
127,9889,0.043619025,-0.0182029,226713,54.422,1
128,9471,0.040100091,-0.080674281,236184,54.422,0
129,10438,0.04232388,0.055455954,246622,54.422,0
130,10864,0.042192585,-0.00310215,257486,54.422,1
131,8442,0.031745435,-0.247606311,265928,54.422,0
132,10218,0.037002166,0.165590129,276146,54.422,0
133,10459,0.036492734,-0.013767616,286605,54.422,1
134,10930,0.036735174,0.006643517,297535,54.422,0
135,11458,0.037081746,0.009434341,308993,54.422,1
136,11929,0.037171026,0.002407648,320922,54.422,1
137,11502,0.03460039,-0.069156986,332424,54.422,1
138,10667,0.031090877,-0.101429872,343091,54.422,0
139,10974,0.030994309,-0.003105985,354065,54.422,0
140,12881,0.035103258,0.132571071,366946,54.422,0
141,13586,0.035702648,0.017075058,380532,54.422,1
142,14516,0.036744902,0.029192625,395048,54.422,1
143,15403,0.037527013,0.021284887,410451,54.422,1
144,14831,0.034873331,-0.070713911,425282,54.422,1
145,14933,0.033922061,-0.027277873,440215,54.422,0
146,15968,0.035003496,0.031880009,456183,54.422,0
147,16922,0.035767958,0.021839592,473105,54.422,1
148,17296,0.035269096,-0.013947186,490401,54.422,1
149,18552,0.036451303,0.033519625,508953,54.422,0
150,19906,0.037639522,0.032597438,528859,54.422,1
151,19459,0.03548853,-0.057147157,548318,54.422,1
152,18522,0.032675887,-0.079254987,566840,54.422,0
153,18641,0.031838779,-0.025618544,585481,54.422,0
154,19160,0.031688225,-0.00472863,604641,54.422,0
155,20903,0.033415715,0.054515204,625544,54.422,0
156,22771,0.035123358,0.051103,648315,54.422,1
157,24850,0.036915169,0.051014801,673165,54.422,1
158,24248,0.034768494,-0.058151568,697413,54.422,1
159,22251,0.030918595,-0.110729531,719664,54.422,0
160,22753,0.030647197,-0.008777838,742417,54.422,0
161,24879,0.032424253,0.05798431,767296,54.422,0
162,26506,0.033391198,0.029821653,793802,54.422,1
163,27114,0.033028958,-0.01084838,820916,54.422,1
164,28606,0.033673054,0.019500945,849522,54.422,0
165,28732,0.032714909,-0.028454337,878254,54.422,1
166,28498,0.03142866,-0.039316927,906752,54.422,0
167,29429,0.031435161,0.000206845,936181,54.422,0
168,32676,0.033726339,0.072885865,968857,54.422,1
169,34975,0.034841487,0.033064603,1003832,54.422,1
170,35252,0.033926035,-0.026274784,1039084,54.422,1
171,38697,0.035904326,0.058311878,1077781,54.422,0
172,40425,0.036151657,0.006888629,1118206,54.422,1
173,37132,0.032139512,-0.110980937,1155338,54.422,1
174,37740,0.031632467,-0.0157764,1193078,54.422,0
175,45720,0.036906743,0.166736187,1238798,54.422,0
176,49310,0.038280952,0.037234608,1288108,54.422,1
177,48916,0.036585731,-0.044283667,1337024,54.422,1
178,48611,0.03508211,-0.041098546,1385635,54.422,0
179,49981,0.03481502,-0.007613288,1435616,54.422,0
180,44457,0.030037032,-0.137239278,1480073,54.422,0
181,51596,0.033686129,0.121486616,1531669,54.422,0
182,50294,0.031792147,-0.056224402,1581963,54.422,1
183,52783,0.032288196,0.015602897,1634746,54.422,0
184,61242,0.036109925,0.118363033,1695988,54.422,1
185,54735,0.031264226,-0.134192995,1750723,54.422,1
186,52972,0.029368602,-0.060632385,1803695,54.422,0
187,52050,0.028048035,-0.044965268,1855745,54.422,0
188,52509,0.027516777,-0.018940988,1908254,54.422,0
189,56282,0.028649004,0.041146789,1964536,54.422,0
190,62538,0.030851365,0.076873909,2027074,54.422,1
191,61537,0.029463122,-0.044997795,2088611,54.422,1
192,64399,0.029911148,0.015206331,2153010,54.422,0
193,62064,0.028018928,-0.063261336,2215074,54.422,1
194,53601,0.023626566,-0.156764108,2268675,54.422,0
195,60963,0.026168443,0.107585552,2329638,54.422,0
196,66999,0.027955423,0.068287562,2396637,54.422,1
197,64553,0.026228369,-0.061778831,2461190,54.422,1
198,64732,0.025627078,-0.022925224,2525922,54.422,0
199,64030,0.024722466,-0.035299071,2589952,54.422,0
200,57711,0.021796958,-0.118333973,2647663,54.422,0
201,55018,0.020356823,-0.06607045,2702681,54.422,0
202,64572,0.023334332,0.146265868,2767253,54.422,0
203,69672,0.024558986,0.052482908,2836925,54.422,1
204,68900,0.023710994,-0.034528756,2905825,54.422,1
205,69876,0.023482198,-0.009649377,2975701,54.422,0
206,69239,0.022739036,-0.031647892,3044940,54.422,0
207,61408,0.019768551,-0.130633706,3106348,54.422,0
208,60975,0.019251273,-0.026166727,3167323,54.422,0
209,57224,0.017746369,-0.07817168,3224547,54.422,0
210,85687,0.025885481,0.458635376,3310234,54.422,0
211,77266,0.022809151,-0.118843837,3387500,54.422,1
212,76472,0.022076391,-0.032125719,3463972,54.422,0
213,78761,0.022231706,0.007035367,3542733,54.422,0
214,78512,0.021680941,-0.024773861,3621245,54.422,1
215,69921,0.018942795,-0.126292785,3691166,54.422,0
216,78357,0.02078698,0.09735551,3769523,54.422,0
217,83883,0.021768534,0.047219649,3853406,54.422,1
218,83341,0.021170017,-0.02749461,3936747,54.422,1
219,86432,0.021483508,0.014808286,4023179,54.422,0
220,90632,0.022031153,0.025491398,4113811,54.422,1
221,90802,0.021595804,-0.019760595,4204613,54.422,1
222,75809,0.017710637,-0.179903809,4280422,54.422,0
223,89706,0.020527088,0.159025935,4370128,54.422,0
224,95735,0.021437066,0.044330619,4465863,54.422,1
225,96551,0.021162262,-0.012819111,4562414,54.422,1
226,97570,0.02093784,-0.010604811,4659984,54.422,0
227,94372,0.019849586,-0.051975455,4754356,54.422,0
228,92071,0.018997707,-0.042916732,4846427,54.422,0
229,83809,0.016998983,-0.105208674,4930236,54.422,0
230,90123,0.017951505,0.056034036,5020359,54.422,0
231,97894,0.019126448,0.065450945,5118253,54.422,1
232,96424,0.018490886,-0.033229465,5214677,54.422,1
233,93337,0.017584166,-0.049036063,5308014,54.422,0
234,92605,0.017147109,-0.024855181,5400619,54.422,0
235,86961,0.015846876,-0.075828089,5487580,54.422,0
236,75083,0.013497672,-0.148243991,5562663,54.422,0
237,83347,0.014762106,0.093677966,5646010,54.422,0
238,86508,0.015090751,0.022262701,5732518,54.422,1
239,86052,0.014789201,-0.019982433,5818570,54.422,1
240,85362,0.0144585,-0.022360973,5903932,54.422,0
241,88600,0.014785069,0.022586665,5992532,54.422,0
242,82170,0.013526589,-0.085118283,6074702,54.422,1
243,70589,0.011486681,-0.15080727,6145291,54.422,0
244,80472,0.012925645,0.125272316,6225763,54.422,0
245,86821,0.013753639,0.064058248,6312584,54.422,1
246,81484,0.012743687,-0.073431619,6394068,54.422,1
247,79476,0.012277046,-0.036617379,6473544,54.422,0
248,75829,0.011578055,-0.056934827,6549373,54.422,0
249,74442,0.011238539,-0.029324128,6623815,54.422,0
250,61267,0.009164734,-0.184526152,6685082,54.422,0
251,72049,0.010662661,0.163444691,6757131,54.422,0
252,78524,0.011487414,0.077349613,6835655,54.422,1
253,70496,0.010207712,-0.111400373,6906151,54.422,1
254,73272,0.010498289,0.028466429,6979423,54.422,0
255,74383,0.010545087,0.004457702,7053806,54.422,1
256,66732,0.009371764,-0.111267313,7120538,54.422,1
257,55342,0.007712225,-0.177078612,7175880,54.422,0
258,63509,0.008772702,0.137505954,7239389,54.422,0
259,67708,0.00926606,0.056237913,7307097,54.422,1
260,63371,0.008597961,-0.072101693,7370468,54.422,1
261,62212,0.008370063,-0.026506105,7432680,54.422,0
262,61871,0.008255465,-0.013691472,7494551,54.422,0
263,55722,0.00738013,-0.106030865,7550273,54.422,0
264,46790,0.006158959,-0.165467458,7597063,54.422,0
265,54044,0.007063553,0.146874489,7651107,54.422,0
266,55839,0.007245282,0.025727753,7706946,54.422,1
267,54366,0.007004744,-0.033199375,7761312,54.422,1
268,53370,0.006829453,-0.025024609,7814682,54.422,0
269,50129,0.006373834,-0.06671377,7864811,54.422,0
270,45148,0.005707741,-0.104504241,7909959,54.422,0
271,36470,0.004589483,-0.195919608,7946429,54.422,0
272,43893,0.00549327,0.196925799,7990322,54.422,0
273,49881,0.006203948,0.129372357,8040203,54.422,1
274,48648,0.006014204,-0.030584371,8088851,54.422,1
275,48268,0.005931829,-0.01369671,8137119,54.422,0
276,46963,0.005738334,-0.032619736,8184082,54.422,0
277,45231,0.005496328,-0.04217372,8229313,54.422,0
278,38310,0.004633738,-0.156939234,8267623,54.422,0
279,46253,0.00556335,0.200618073,8313876,54.422,0
280,50210,0.006003047,0.079034593,8364086,54.422,1
281,47638,0.005663286,-0.056598041,8411724,54.422,1
282,50356,0.005950783,0.050764986,8462080,54.422,0
283,45674,0.005368514,-0.097847357,8507754,54.422,1
284,45903,0.005366477,-0.00037959,8553657,54.422,0
285,38073,0.004431354,-0.174252553,8591730,54.422,0
286,44281,0.005127483,0.157091638,8636011,54.422,0
287,47905,0.00551652,0.075872972,8683916,54.422,1
288,44879,0.005141489,-0.067983402,8728795,54.422,1
289,44684,0.005093077,-0.009415964,8773479,54.422,0
290,41100,0.00466273,-0.084496424,8814579,54.422,0
291,30548,0.003453653,-0.259306623,8845127,54.422,0
292,29163,0.003286235,-0.048475726,8874290,54.422,0
293,38617,0.004332705,0.318440624,8912907,54.422,0
294,45576,0.005087468,0.17420135,8958483,54.422,1
295,45882,0.005095529,0.00158432,9004365,54.422,1
296,46232,0.005108171,0.002481126,9050597,54.422,1
297,45209,0.004970313,-0.026987863,9095806,54.422,1
298,44059,0.004820531,-0.030135322,9139865,54.422,0
299,37975,0.004137684,-0.141653886,9177840,54.422,0
300,44376,0.004811859,0.162935325,9222216,54.422,0
301,44489,0.004800951,-0.002266755,9266705,54.422,1
302,43082,0.004627603,-0.036107047,9309787,54.422,0
303,41322,0.004418941,-0.045090745,9351109,54.422,0
304,41810,0.004451225,0.007305897,9392919,54.422,0
305,38772,0.004110822,-0.076474164,9431691,54.422,1
306,31118,0.003288453,-0.20004978,9462809,54.422,0
307,36604,0.003853291,0.171764064,9499413,54.422,0
308,35551,0.003728488,-0.032388577,9534964,54.422,1
309,36595,0.003823306,0.02543068,9571559,54.422,0
310,36652,0.003814654,-0.002263006,9608211,54.422,1
311,36011,0.003733946,-0.021157457,9644222,54.422,0
312,32981,0.003408113,-0.087262308,9677203,54.422,0
313,26567,0.002737802,-0.196680973,9703770,54.422,0
314,32080,0.003295038,0.203534278,9735850,54.422,0
315,31521,0.003227173,-0.020596126,9767371,54.422,1
316,29373,0.002998241,-0.070938972,9796744,54.422,0
317,30031,0.003056038,0.019277027,9826775,54.422,0
318,30254,0.003069282,0.004333587,9857029,54.422,1
319,27071,0.002738843,-0.10765992,9884100,54.422,1
320,22065,0.002227401,-0.186736641,9906165,54.422,0
321,26382,0.002656116,0.192473435,9932547,54.422,0
322,24010,0.002411476,-0.092104448,9956557,54.422,1
323,22890,0.002293714,-0.048833949,9979447,54.422,0
324,25152,0.002514044,0.096057963,10004599,54.422,0
325,26624,0.002654113,0.05571473,10031223,54.422,1
326,24337,0.002420253,-0.088112293,10055560,54.422,1
327,19556,0.00194102,-0.198009557,10075116,54.422,0
328,23950,0.002371506,0.22178372,10099066,54.422,0
329,24712,0.002440986,0.029297635,10123778,54.422,1
330,23067,0.002273317,-0.06868884,10146845,54.422,1
331,22273,0.002190259,-0.036536335,10169118,54.422,0
332,18732,0.001838661,-0.160528074,10187850,54.422,0
333,20021,0.00196133,0.066716433,10207871,54.422,0
334,16432,0.001607151,-0.180580825,10224303,54.422,1
335,20549,0.002005788,0.248039378,10244852,54.422,0
336,21822,0.002125518,0.059692294,10266674,54.422,1
337,0,0,-1,10266674,54.422,1
338,20035,0.001947659,0,10286709,54.422,0
339,37256,0.003608691,0.852835269,10323965,54.422,1
340,16504,0.001596059,-0.557717988,10340469,54.422,1
341,16375,0.00158108,-0.009385009,10356844,54.422,0
342,18088,0.001743433,0.102684872,10374932,54.422,0
343,20346,0.001957235,0.12263258,10395278,54.422,1
344,18139,0.001741887,-0.110026349,10413417,54.422,1
345,0,0,-1,10413417,54.422,0
346,36867,0.003527847,0,10450284,54.422,0
347,16311,0.001558386,-0.558261286,10466595,54.422,1
348,12584,0.001200857,-0.229422573,10479179,54.422,0
349,15968,0.001521465,0.266982299,10495147,54.422,0
350,16946,0.001612048,0.059536713,10512093,54.422,1
351,15590,0.001480858,-0.081381245,10527683,54.422,1
352,15158,0.001437753,-0.029107983,10542841,54.422,0
353,15144,0.001434365,-0.002356645,10557985,54.422,0
354,13788,0.001304228,-0.090727859,10571773,54.422,0
355,10050,0.000949742,-0.271797571,10581823,54.422,0
356,13816,0.001303933,0.372933818,10595639,54.422,0
357,15244,0.001436638,0.101773298,10610883,54.422,1
358,14545,0.001368886,-0.047160224,10625428,54.422,1
359,14256,0.001339889,-0.021182638,10639684,54.422,0
360,14849,0.001393679,0.040144869,10654533,54.422,0
361,13203,0.001237657,-0.111949679,10667736,54.422,1
362,9102,0.0008525,-0.311198928,10676838,54.422,0
363,12689,0.00118705,0.392434358,10689527,54.422,0
364,11666,0.001090159,-0.081623279,10701193,54.422,1
365,18855,0.001758854,0.613392492,10720048,54.422,0
366,13082,0.001218843,-0.307024392,10733130,54.422,1
367,13044,0.001213827,-0.004115056,10746174,54.422,0
368,11436,0.001063061,-0.124207081,10757610,54.422,0
369,8635,0.000802044,-0.245533897,10766245,54.422,0
370,11039,0.001024284,0.277092406,10777284,54.422,0
371,12899,0.001195438,0.167096661,10790183,54.422,1
372,12408,0.001148613,-0.039169858,10802591,54.422,1
373,11713,0.001083103,-0.057034686,10814304,54.422,0
374,12059,0.001113855,0.028393069,10826363,54.422,0
375,11831,0.001091603,-0.019978004,10838194,54.422,1
376,9110,0.00083984,-0.230635698,10847304,54.422,0
377,11067,0.001019214,0.21358072,10858371,54.422,0
378,12923,0.001188727,0.166317709,10871294,54.422,1
379,9309,0.000855559,-0.280272723,10880603,54.422,1
380,12143,0.001114779,0.302982409,10892746,54.422,0
381,12194,0.001118209,0.003077045,10904940,54.422,1
382,11649,0.001067092,-0.045713511,10916589,54.422,1
383,9121,0.00083482,-0.217667988,10925710,54.422,0
384,11610,0.001061503,0.271535572,10937320,54.422,0
385,12881,0.001176325,0.108169488,10950201,54.422,1
386,13193,0.001203368,0.022989206,10963394,54.422,1
387,13993,0.001274711,0.05928621,10977387,54.422,1
388,14264,0.001297712,0.018043981,10991651,54.422,1
389,14199,0.001290132,-0.00584118,11005850,54.422,1
390,10584,0.000960746,-0.255311539,11016434,54.422,0
391,13742,0.001245855,0.296757319,11030176,54.422,0
392,16738,0.001515174,0.216172247,11046914,54.422,1
393,16577,0.001498352,-0.011102771,11063491,54.422,1
394,16488,0.001488089,-0.006848985,11079979,54.422,0
395,16752,0.001509634,0.014477839,11096731,54.422,0
396,15510,0.001395758,-0.075432677,11112241,54.422,1
397,12286,0.001104407,-0.208740731,11124527,54.422,0
398,14989,0.00134557,0.218364907,11139516,54.422,0
399,17407,0.001560197,0.159506415,11156923,54.422,1
400,16838,0.001506923,-0.034145664,11173761,54.422,1
401,18284,0.00163366,0.084103228,11192045,54.422,0
402,18754,0.001672851,0.023989682,11210799,54.422,1
403,18599,0.001656278,-0.009907492,11229398,54.422,1
404,15388,0.001368456,-0.173775892,11244786,54.422,0
405,17921,0.001591181,0.162755683,11262707,54.422,0
406,22854,0.002025065,0.272681165,11285561,54.422,1
407,23285,0.002059008,0.016761005,11308846,54.422,1
408,24882,0.002195394,0.066238961,11333728,54.422,1
409,25320,0.00222906,0.015334788,11359048,54.422,1
410,26291,0.002309198,0.035951378,11385339,54.422,1
411,24492,0.00214657,-0.070426145,11409831,54.422,1
412,28903,0.002526766,0.177117789,11438734,54.422,0
413,35871,0.003126121,0.237202468,11474605,54.422,1
414,39726,0.003450135,0.103647513,11514331,54.422,1
415,40953,0.003544093,0.027233015,11555284,54.422,1
416,43846,0.003780111,0.06659481,11599130,54.422,1
417,46951,0.004031485,0.066499059,11646081,54.422,1
418,40715,0.003483846,-0.135840446,11686796,54.422,1
419,47262,0.004027763,0.156125258,11734058,54.422,0
420,53476,0.004536657,0.1263467,11787534,54.422,1
421,59118,0.004990271,0.099988503,11846652,54.422,1
422,62258,0.00522785,0.047608588,11908910,54.422,1
423,62714,0.005238554,0.002047437,11971624,54.422,1
424,68020,0.005649669,0.078478642,12039644,54.422,1
425,56211,0.004647129,-0.177451041,12095855,54.422,1
426,53480,0.004401887,-0.052772819,12149335,54.422,0
427,72330,0.005918179,0.344464064,12221665,54.422,0
428,81466,0.006621566,0.118852032,12303131,54.422,1
429,89129,0.007192312,0.086194933,12392260,54.422,1
430,93249,0.007468578,0.03841132,12485509,54.422,1
431,103558,0.008226027,0.101418022,12589067,54.422,1
432,96982,0.007644776,-0.070659975,12686049,54.422,1
433,115736,0.009040614,0.182587238,12801785,54.422,0
434,126789,0.009806882,0.084758375,12928574,54.422,1
435,131968,0.010104328,0.030330329,13060542,54.422,1
436,145384,0.011008997,0.089532826,13205926,54.422,1
437,152879,0.011444063,0.039519088,13358805,54.422,1
438,168912,0.012486364,0.091077933,13527717,54.422,1
439,161736,0.011814643,-0.053796374,13689453,54.422,1
440,184372,0.013289197,0.124807366,13873825,54.422,0
441,200739,0.014262538,0.073242968,14074564,54.422,1
442,217353,0.015208107,0.066297393,14291917,54.422,1
443,234692,0.016156007,0.062328628,14526609,54.422,1
444,261394,0.017676085,0.094087474,14788003,54.422,1
445,273802,0.018178565,0.028427097,15061805,54.422,1
446,259167,0.016915833,-0.069462698,15320972,54.422,1
447,295158,0.018900842,0.117346211,15616130,54.422,0
448,314644,0.019750704,0.044964255,15930774,54.422,1
449,332921,0.020470195,0.036428606,16263695,54.422,1
450,346786,0.020877541,0.019899499,16610481,54.422,1
451,349691,0.020618364,-0.012414158,16960172,54.422,1
452,352991,0.020388591,-0.011144093,17313163,54.422,0
453,323023,0.018315922,-0.101658297,17636186,54.422,0
454,360927,0.020054717,0.094933523,17997113,54.422,0
455,379308,0.020641016,0.029234991,18376421,54.422,1
456,386555,0.020602009,-0.001889782,18762976,54.422,1
457,401993,0.020975406,0.018124287,19164969,54.422,0
458,392488,0.020068458,-0.043238636,19557457,54.422,1
459,368060,0.018471792,-0.079560974,19925517,54.422,0
460,357316,0.017616671,-0.046293318,20282833,54.422,0
461,382146,0.018492446,0.04971282,20664979,54.422,0
462,412431,0.019567442,0.058131657,21077410,54.422,1
463,414188,0.019272089,-0.015094084,21491598,54.422,1
464,401078,0.018320191,-0.049392608,21892676,54.422,0
465,403405,0.01809309,-0.0123962,22296081,54.422,0
466,366494,0.016171772,-0.106190695,22662575,54.422,0
467,329942,0.014349973,-0.112653028,22992517,54.422,0
468,348421,0.014927463,0.04024331,23340938,54.422,0
469,362727,0.01530257,0.025128636,23703665,54.422,1
470,343144,0.014269835,-0.067487693,24046809,54.422,1
471,326098,0.013379528,-0.062390826,24372907,54.422,0
472,311170,0.012606102,-0.057806674,24684077,54.422,0
473,281386,0.011271011,-0.105908361,24965463,54.422,0
474,263533,0.01044564,-0.073229552,25228996,54.422,0
475,267334,0.010485195,0.003786815,25496330,54.422,0
476,276110,0.010713382,0.021762769,25772440,54.422,1
477,259551,0.009970463,-0.069344984,26031991,54.422,1
478,257299,0.009787218,-0.018378821,26289290,54.422,0
479,240842,0.009078055,-0.072458023,26530132,54.422,0
480,222315,0.008310081,-0.084596772,26752447,54.422,0
481,196427,0.007288876,-0.122887489,26948874,54.422,0
482,208921,0.007692856,0.055424157,27157795,54.422,0
483,211298,0.007720314,0.003569354,27369093,54.422,1
484,186364,0.006763234,-0.123969102,27555457,54.422,1
485,173790,0.00626739,-0.073314641,27729247,54.422,0
486,165553,0.005934905,-0.053049896,27894800,54.422,0
487,152734,0.005445541,-0.082455282,28047534,54.422,0
488,127510,0.004525636,-0.168928096,28175044,54.422,0
489,132788,0.004690857,0.036507807,28307832,54.422,0
490,134154,0.004716759,0.005521793,28441986,54.422,1
491,132364,0.004632266,-0.017913333,28574350,54.422,1
492,120529,0.004200366,-0.09323733,28694879,54.422,0
493,114460,0.003973017,-0.054125991,28809339,54.422,0
494,100636,0.003481013,-0.123836408,28909975,54.422,0
495,86498,0.002983052,-0.14305048,28996473,54.422,0
496,92596,0.003183189,0.06709114,29089069,54.422,0
497,93463,0.003202704,0.006130564,29182532,54.422,1
498,92291,0.003152572,-0.015652762,29274823,54.422,1
499,84332,0.002872426,-0.088862808,29359155,54.422,0
500,80834,0.002745721,-0.044110748,29439989,54.422,0
501,70421,0.00238631,-0.130898463,29510410,54.422,0
502,60471,0.002044951,-0.143049094,29570881,54.422,0
503,62224,0.002099814,0.026828417,29633105,54.422,0
504,67208,0.002262872,0.077653589,29700313,54.422,1
